순번,종류,파일명,블록,블록제목,비트,장소,컷,조명,초,프롬프트
1,이미지,1블-b1-k1.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k1/4,D,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
1,영상,1블-b1-v1.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k1→k2,D,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
2,이미지,1블-b1-k2.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k2/4,D,20,"the same scene from the same camera height, progressively closer (2 of 4), extreme wide establishing shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
2,영상,1블-b1-v2.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k2→k3,D,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
3,이미지,1블-b1-k3.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k3/4,D,20,"the same scene from the same camera height, progressively closer (3 of 4), extreme wide establishing shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
3,영상,1블-b1-v3.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k3→k4,D,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
4,이미지,1블-b1-k4.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b1,한산도 앞바다 해협,k4/4,D,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
5,이미지,1블-b2-k1.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k1/4,D,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
5,영상,1블-b2-v1.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k1→k2,D,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
6,이미지,1블-b2-k2.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k2/4,D,20,"the same scene from the same camera height, progressively closer (2 of 4), wide shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
6,영상,1블-b2-v2.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k2→k3,D,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
7,이미지,1블-b2-k3.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k3/4,D,20,"the same scene from the same camera height, progressively closer (3 of 4), wide shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
7,영상,1블-b2-v3.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k3→k4,D,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
8,이미지,1블-b2-k4.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b2,여수 수군 진영,k4/4,D,20,"the same scene from the same camera height, closest framing of this beat, wide shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
9,이미지,1블-b3-k1.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b3,거북선 갑판 내부,k1/3,D,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
9,영상,1블-b3-v1.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b3,거북선 갑판 내부,k1→k2,D,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
10,이미지,1블-b3-k2.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b3,거북선 갑판 내부,k2/3,D,20,"the same scene from the same camera height, progressively closer (2 of 3), medium shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
10,영상,1블-b3-v2.mp4,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b3,거북선 갑판 내부,k2→k3,D,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
